customer_id,trans_date,tran_amount,response
CS2596,1-May-13,76,0
CS5990,19-Oct-12,103,0
CS4215,9-Jul-11,54,0
CS4811,26-Jan-12,77,1
CS2070,30-Jan-13,41,0
CS3419,29-Jan-15,38,0
CS3668,14-Aug-14,102,0
CS4623,27-Sep-13,89,1
CS4708,2-Jul-13,48,0
CS1816,22-Sep-13,64,0
CS5376,8-Dec-13,44,0
CS4568,15-Nov-11,70,0
CS1779,27-Jan-12,53,0
CS2447,10-Jul-11,82,0
CS1985,16-Aug-11,87,0
CS2544,7-Nov-11,64,0
CS2158,11-Sep-12,89,0
CS5776,9-Sep-14,87,0
CS5653,4-Sep-13,98,0
CS2291,15-Oct-14,67,0
CS6088,29-Oct-12,48,0
CS4245,2-Jun-14,102,0
CS3344,2-Jul-14,56,0
CS1481,23-Dec-13,50,0
CS5400,23-Dec-11,56,0
CS5463,27-Aug-14,91,0
CS5951,7-Aug-14,104,1
CS5515,19-Feb-12,41,0
CS3039,1-May-12,92,0
CS1836,24-Mar-12,63,0
CS4320,9-Apr-14,52,1
CS4889,1-Dec-11,38,0
CS1319,26-Sep-11,95,0
CS4859,7-Jan-15,50,1
CS4148,8-Feb-14,40,0
CS5264,3-Apr-13,81,0
CS4041,29-Dec-14,49,0
CS2183,4-Jan-13,39,0
CS2516,15-Feb-15,55,0
CS1890,3-Nov-12,37,0
CS3730,11-Feb-13,89,1
CS5382,7-Mar-13,48,1
CS5970,13-Jun-14,40,0
CS5260,30-Jan-15,46,1
CS2437,13-Nov-11,90,0
CS4675,11-Sep-11,67,0
CS2920,11-Oct-11,87,0
CS2548,28-Sep-13,73,1
CS1818,26-Dec-11,46,0
CS6098,28-Sep-12,42,1
CS2712,26-Dec-11,65,0
CS2714,14-Dec-11,69,0
CS2615,17-Aug-13,39,0
CS5445,27-Jul-14,72,0
CS5812,2-Nov-14,62,0
CS4636,22-Sep-13,66,0
CS3147,4-Jun-14,84,1
CS1273,1-Feb-12,91,0
CS4243,11-Nov-11,48,0
CS2357,13-Apr-12,71,0
CS1776,3-May-14,79,0
CS5643,2-Mar-13,104,0
CS4522,6-Mar-15,82,0
CS2418,1-Feb-15,51,0
CS1330,21-Nov-14,41,0
CS1195,29-Dec-14,83,0
CS4306,7-Mar-15,54,0
CS2137,29-Sep-13,73,0
CS3518,19-Jun-13,54,0
CS5835,18-Sep-11,52,1
CS4701,15-Jan-15,95,0
CS4548,28-Jun-12,38,0
CS2384,15-Oct-12,35,0
CS4081,17-Feb-13,74,0
CS5976,2-Jan-12,99,0
CS3874,8-Sep-11,44,0
CS5356,17-Jun-14,105,1
CS4667,17-Sep-14,66,0
CS4328,4-Jun-12,56,0
CS3291,2-Aug-13,42,0
CS4282,11-Sep-11,44,0
CS4331,25-Sep-11,70,0
CS1243,17-Mar-13,36,0
CS2390,20-May-14,104,0
CS2207,5-Apr-14,71,0
CS1270,18-Nov-11,104,0
CS1219,11-Nov-14,91,0
CS5427,13-Nov-12,96,1
CS5474,18-May-11,69,0
CS5109,23-May-12,92,0
CS5287,14-Mar-15,94,0
CS3477,5-May-13,80,0
CS3970,13-Dec-11,86,0
CS5760,8-Dec-11,59,0
CS2149,4-Apr-13,83,0
CS4934,19-Jul-14,80,1
CS1517,18-Oct-13,89,0
CS1641,29-Dec-12,64,0
CS2187,19-Nov-11,70,0
CS5359,12-Aug-14,96,0
CS3124,8-Dec-11,71,0
CS1721,30-Aug-12,96,0
CS5212,22-Jan-15,42,0
CS5111,23-Aug-11,81,1
CS3137,4-Apr-12,67,0
CS1511,25-Jan-15,69,0
CS2509,23-Feb-14,92,0
CS5994,11-Jan-14,42,0
CS2613,25-Aug-13,103,0
CS1934,18-Aug-14,89,0
CS3127,2-Oct-11,39,0
CS5225,18-Mar-14,104,1
CS1815,17-Nov-12,83,0
CS3552,27-Apr-14,102,0
CS1893,17-Nov-13,42,0
CS3621,26-Oct-13,56,0
CS4330,17-Jul-13,59,0
CS4991,20-Jul-13,90,0
CS2312,22-Oct-13,37,0
CS2359,4-Jun-12,90,1
CS4798,6-Dec-12,84,1
CS2507,28-Jun-12,94,0
CS1430,2-Sep-14,71,0
CS3787,23-Oct-13,48,0
CS4103,14-Apr-13,89,0
CS2881,24-Sep-12,54,0
CS1854,29-Sep-11,74,0
CS2863,23-Dec-12,102,0
CS5292,4-Sep-13,64,1
CS3184,7-Jan-12,88,0
CS2049,7-Oct-13,66,0
CS2832,16-Jul-13,105,0
CS2251,12-Apr-13,99,0
CS5667,25-Feb-14,66,0
CS1327,19-Feb-12,38,0
CS4927,12-Aug-13,37,0
CS2302,9-Sep-12,100,0
CS3901,11-Sep-12,82,0
CS5762,21-Apr-13,85,0
CS2289,13-Mar-12,89,0
CS2867,9-Feb-12,56,1
CS2359,10-Aug-14,87,1
CS5814,12-Dec-11,72,1
CS5129,21-Jun-11,102,0
CS2597,3-Jun-12,42,0
CS5838,1-Sep-12,96,0
CS5800,23-Apr-12,86,0
CS3786,16-Jul-13,66,0
CS3659,19-May-12,77,0
CS4400,3-Sep-11,97,0
CS3026,3-Jun-12,55,0
CS3632,10-Feb-13,72,0
CS1452,23-Mar-12,79,0
CS5140,11-Jul-14,97,0
CS5383,29-Dec-13,73,0
CS4695,17-Sep-13,48,0
CS2368,10-Aug-12,66,0
CS2066,15-Jul-11,51,0
CS5277,12-Jul-11,90,1
CS3025,30-Dec-11,72,1
CS4802,25-Jun-11,45,0
CS6001,16-Feb-14,63,0
CS3981,20-Sep-14,74,0
CS3885,29-Apr-14,56,0
CS5546,28-Aug-12,79,0
CS4964,20-May-14,79,0
CS4881,21-Jan-14,55,0
CS4103,2-Mar-14,40,0
CS5884,19-Dec-12,97,0
CS2765,18-Apr-13,88,0
CS4438,5-Jul-14,72,1
CS2234,21-Dec-14,36,0
CS3015,30-Jan-14,58,0
CS3755,1-Jan-15,45,0
CS3927,25-Mar-14,77,1
CS5799,8-Nov-12,101,0
CS5708,3-Jun-11,89,0
CS3695,20-Apr-13,51,0
CS1969,23-Oct-14,39,0
CS3854,9-Nov-14,104,1
CS3416,23-Feb-15,57,0
CS1414,1-Dec-13,104,0
CS4732,27-Mar-13,96,0
CS2493,29-Dec-12,85,0
CS5851,19-Jan-13,98,0
CS1678,9-May-14,48,0
CS2049,19-Mar-13,36,0
CS3676,27-Sep-11,43,0
CS4853,27-Mar-12,68,0
CS4292,4-Mar-14,98,0
CS3152,15-Dec-14,40,0
CS5640,13-Jan-14,77,0
CS5857,26-Sep-12,85,0
CS1472,12-Apr-14,72,0
CS3888,22-Feb-12,70,0
CS5563,23-Jun-13,70,0
CS5104,17-Sep-12,99,0
CS6109,1-Nov-13,92,0
CS2352,6-Oct-14,62,1
CS4024,1-Feb-14,39,0
CS1499,24-Dec-11,91,0
CS3071,15-Sep-12,39,0
CS5638,16-Dec-14,58,0
CS5533,16-May-13,73,0
CS1961,29-Mar-12,75,0
CS1707,15-Sep-11,105,0
CS3692,17-Sep-14,48,0
CS1275,28-Dec-11,102,0
CS4738,20-Mar-13,37,0
CS3732,12-Jun-11,83,1
CS5676,16-Dec-13,44,0
CS4111,26-Jul-12,54,0
CS2074,5-Jan-15,79,0
CS5815,3-Jan-15,92,0
CS5094,7-Mar-15,84,0
CS5431,5-Jan-13,55,0
CS4540,13-Aug-14,55,1
CS1891,25-Mar-13,84,0
CS4389,22-Mar-13,70,1
CS4412,7-Jan-12,47,0
CS1697,13-Jul-14,98,0
CS2720,11-Apr-12,72,0
CS1152,4-Aug-12,71,0
CS3796,14-Sep-13,37,0
CS6066,23-Aug-13,66,0
CS2643,20-Jul-14,69,0
CS6056,22-Mar-14,104,0
CS3489,9-Jan-13,76,0
CS5229,23-Nov-11,58,0
CS4649,16-Dec-14,93,0
CS4372,27-Aug-14,71,0
CS1790,4-Oct-12,100,0
CS1475,20-Aug-12,73,0
CS2452,5-Apr-14,77,0
CS2781,2-Jun-11,51,0
CS5260,25-Sep-14,89,1
CS5155,25-Dec-11,100,0
CS1582,24-May-14,46,1
CS4757,19-Aug-11,81,0
CS6039,5-Oct-13,104,0
CS1580,18-Nov-12,87,1
CS3815,5-Jul-11,54,0
CS6063,13-Apr-13,104,0
CS2226,29-Oct-14,104,0
CS5367,8-Jan-15,77,1
CS4581,4-Jun-13,95,0
CS5004,21-Dec-14,59,0
CS2164,6-Aug-13,35,0
CS4590,31-May-14,79,0
CS4600,3-Oct-11,50,0
CS2122,20-Feb-12,90,0
CS3060,24-Aug-12,59,0
CS2217,19-Apr-13,85,0
CS4288,21-Apr-14,68,0
CS1568,10-May-13,104,0
CS3442,16-Sep-14,39,0
CS4883,24-Dec-13,39,0
CS4911,17-Feb-12,75,0
CS1533,25-Jul-12,86,0
CS3103,7-May-14,59,0
CS2185,29-Jan-12,46,0
CS4094,24-Jul-13,100,0
CS4354,29-Dec-12,62,1
CS1939,25-Jul-12,46,0
CS5516,4-Dec-12,75,0
CS5664,2-Nov-13,95,0
CS5068,7-Nov-14,41,0
CS4376,13-Oct-14,49,0
CS5825,22-Oct-11,61,0
CS1871,16-Jan-12,64,0
CS5046,6-Feb-15,86,1
CS1259,30-Jun-13,64,1
CS5664,11-Sep-11,58,0
CS2986,20-Jul-11,67,0
CS5510,2-Sep-13,99,0
CS2845,10-Jan-13,73,0
CS4077,22-Jul-12,90,0
CS3466,4-Nov-13,71,0
CS1508,25-Oct-13,101,0
CS2469,19-Jul-14,93,0
CS2767,3-Jan-15,105,0
CS5790,17-Mar-12,58,0
CS1710,10-Jun-13,100,0
CS2554,5-Oct-11,100,0
CS5283,5-Feb-15,63,0
CS4050,30-Aug-14,63,0
CS5975,8-Sep-12,77,0
CS4227,16-Oct-12,74,0
CS5983,20-May-11,47,0
CS2490,4-Dec-13,70,0
CS1696,25-Dec-12,51,1
CS3209,25-Feb-14,82,0
CS2942,8-Jan-13,62,0
CS4981,16-Oct-11,93,0
CS1397,26-Mar-14,77,0
CS1903,15-Apr-13,92,0
CS3754,30-Nov-13,77,0
CS4763,12-Dec-11,78,0
CS4413,17-Jan-15,38,0
CS2333,13-Aug-11,99,0
CS2798,30-May-12,100,0
CS5033,13-Dec-11,96,0
CS1420,9-Sep-14,99,1
CS5132,14-Sep-11,74,0
CS3058,3-Sep-12,74,0
CS3692,22-Sep-13,42,0
CS2463,29-Sep-12,55,0
CS5209,11-Nov-11,35,0
CS4581,16-Nov-13,53,0
CS3424,2-Dec-13,85,0
CS3207,27-Jun-13,86,1
CS5763,23-Jan-13,56,0
CS5772,18-Jan-12,97,0
CS3673,29-Apr-13,85,0
CS2887,2-Mar-12,100,0
CS1596,28-Aug-11,66,0
CS4299,17-Jun-12,37,0
CS1492,6-Feb-14,82,0
CS2313,10-Apr-14,40,0
CS5385,25-Apr-14,83,0
CS3441,3-Nov-13,43,0
CS4701,26-Jul-14,53,0
CS1746,21-Jun-13,103,1
CS3276,27-Jul-13,65,0
CS2555,20-May-12,50,0
CS2569,29-Apr-14,37,0
CS3426,1-May-14,67,0
CS3052,17-Nov-13,67,1
CS1993,8-Aug-13,68,0
CS4908,27-Sep-14,78,0
CS3021,10-Feb-14,43,0
CS4424,16-May-13,82,0
CS4841,23-May-13,74,0
CS3486,19-Nov-12,75,0
CS2218,11-Oct-11,78,0
CS4779,29-Apr-12,53,1
CS4226,19-Apr-13,100,0
CS1653,30-Aug-11,53,1
CS2533,30-Mar-12,99,0
CS2905,29-Jul-12,47,0
CS5169,25-Jan-13,64,0
CS5142,25-Nov-12,64,0
CS4390,2-Jul-14,43,0
CS5668,27-Feb-14,91,0
CS2896,14-Jan-13,71,0
CS5156,2-Oct-13,58,0
CS4200,12-Aug-12,67,0
CS4391,7-Sep-14,67,1
CS5408,22-Jul-13,78,0
CS6019,25-Oct-13,84,1
CS3981,25-Jul-12,40,0
CS5925,20-Jun-13,66,0
CS3964,14-Nov-13,105,0
CS4688,20-May-13,101,0
CS1343,2-Jun-12,57,0
CS6024,14-Oct-12,45,0
CS2816,18-Dec-11,84,0
CS2434,20-May-12,41,1
CS6018,18-May-12,96,0
CS2072,7-Jul-12,63,0
CS2897,3-Dec-13,83,0
CS1680,14-Oct-13,81,0
CS1638,5-Aug-13,84,0
CS1165,12-Apr-12,101,0
CS4593,4-Jan-12,84,0
CS3414,13-Nov-11,46,0
CS2252,28-Feb-13,58,0
CS3598,30-Jul-13,54,0
CS3642,19-May-14,62,1
CS5948,10-Jul-14,71,0
CS5582,23-May-14,96,0
CS6107,23-Jul-11,70,0
CS5201,2-Jul-11,79,0
CS1639,5-May-13,51,0
CS5884,20-Nov-12,52,0
CS3515,7-Jul-14,81,0
CS2332,29-Aug-13,66,0
CS5628,16-Dec-14,94,0
CS4830,13-Apr-12,78,0
CS1673,4-Jan-12,92,0
CS4993,1-Jun-11,86,0
CS2603,1-Jul-13,58,1
CS1800,20-Nov-13,72,0
CS3911,9-Jun-12,83,0
CS5465,5-Dec-11,77,0
CS2373,29-Mar-12,105,0
CS1241,6-Mar-13,104,0
CS4244,15-Feb-13,48,0
CS5233,5-Jun-13,73,0
CS5405,4-Dec-13,87,0
CS4115,30-Nov-11,73,1
CS4283,23-Dec-11,76,0
CS4420,28-May-14,93,0
CS4779,8-May-13,41,1
CS2567,15-Jul-11,93,0
CS3629,30-Sep-14,68,0
CS2026,25-Aug-13,66,1
CS4338,5-Jul-13,58,0
CS4142,20-May-12,100,0
CS2837,10-Nov-12,88,0
CS1625,5-Nov-13,104,0
CS4873,20-Nov-12,83,0
CS3376,28-Aug-12,39,0
CS4311,27-Feb-12,35,1
CS1396,25-Sep-12,86,0
CS3779,29-Jan-14,92,0
CS1997,9-Oct-12,87,0
CS4540,17-May-12,72,1
CS5299,22-Dec-12,90,0
CS2253,21-Nov-12,99,0
CS6066,17-Mar-14,102,0
CS6077,22-Nov-12,44,0
CS3300,28-Dec-14,86,0
CS5922,31-Mar-12,95,1
CS6009,13-Mar-14,39,1
CS5064,19-Feb-13,97,0
CS2399,21-Apr-14,77,0
CS5547,27-Sep-12,73,1
CS5114,23-Sep-12,96,0
CS3908,10-Nov-11,83,1
CS4194,24-Apr-13,92,0
CS5342,15-Oct-12,82,0
CS5425,4-Aug-12,90,0
CS1991,29-Sep-14,94,0
CS2693,27-Aug-13,61,0
CS5076,31-Jan-15,63,1
CS3177,8-Jun-11,87,0
CS2809,2-Jun-12,60,1
CS3864,6-Dec-13,56,0
CS2515,11-Dec-11,51,1
CS4487,25-Aug-11,100,0
CS3108,20-Aug-11,87,0
CS1133,28-Jul-14,91,0
CS5919,4-Mar-12,97,0
CS6067,4-Sep-12,44,0
CS4893,24-Oct-13,66,0
CS5750,25-Mar-14,48,0
CS1445,13-Nov-11,88,0
CS1710,26-Oct-11,52,0
CS1927,23-Dec-13,97,0
CS5719,10-Jul-11,40,1
CS2591,29-Jan-14,69,0
CS2416,13-Feb-13,59,0
CS1347,10-Feb-13,74,0
CS3073,13-Feb-15,95,0
CS3590,23-Oct-13,104,0
CS4099,29-May-14,67,0
CS4109,21-Aug-12,40,0
CS6072,20-Dec-11,82,0
CS3266,17-Nov-12,51,0
CS1433,22-Dec-14,72,0
CS5499,23-Jun-11,59,0
CS1533,20-Jul-12,85,0
CS5405,21-Apr-12,91,0
CS4971,28-May-13,83,0
CS5461,6-Feb-12,47,1
CS6088,27-Jan-13,82,0
CS1984,4-Sep-12,53,0
CS1184,5-Jan-13,102,0
CS4346,9-Dec-12,65,0
CS5245,29-Oct-14,104,0
CS5402,3-Nov-11,84,0
CS2765,29-Aug-11,61,0
CS5785,20-Jun-13,63,0
CS5767,29-May-13,82,0
CS2753,17-Jun-12,63,0
CS2252,4-Sep-12,68,0
CS5488,28-Jun-12,53,0
CS5354,23-Sep-14,83,0
CS1470,11-Feb-12,95,0
CS1155,16-Oct-11,75,0
CS5565,4-Jun-14,36,0
CS6073,7-Feb-15,104,0
CS2817,11-Jun-14,43,0
CS3210,29-Oct-11,57,0
CS4688,16-Oct-12,59,0
CS4663,24-Feb-13,95,0
CS4539,28-Jul-12,35,1
CS2580,9-Jul-12,42,0
CS3983,15-Oct-12,103,0
CS2771,2-Jul-12,67,0
CS3635,3-Feb-15,38,0
CS1415,21-Jan-12,73,0
CS2294,4-Mar-15,94,0
CS1405,18-Sep-13,43,0
CS1582,16-Jan-14,85,1
CS2886,9-Nov-13,38,0
CS2770,7-Nov-14,80,0
CS1140,28-Dec-14,61,0
CS2333,25-Jan-14,93,0
CS4752,20-Apr-13,95,0
CS5687,26-Jul-11,89,0
CS4895,11-Jan-14,80,0
CS2786,28-Nov-11,66,0
CS1927,24-May-12,63,0
CS4327,26-Sep-14,36,0
CS1624,30-Mar-13,68,0
CS5490,19-Aug-14,36,0
CS4395,26-Feb-12,66,0
CS3174,25-Jan-13,61,0
CS2011,6-Jun-13,85,0
CS5553,7-Jan-15,98,0
CS3775,23-Feb-12,92,0
CS2885,8-Nov-12,55,0
CS1206,11-Aug-14,90,0
CS4480,23-May-12,60,0
CS1488,12-Feb-15,65,0
CS1456,8-Feb-13,95,0
CS4681,3-Feb-14,96,0
CS3170,16-Oct-12,85,0
CS1906,18-May-14,60,0
CS5774,28-Feb-15,78,0
CS6063,29-Sep-11,77,0
CS2223,17-Jan-14,41,0
CS1848,27-Sep-11,48,0
CS2366,8-Apr-14,39,0
CS5335,13-Jan-14,45,0
CS2899,12-Oct-12,55,1
CS4219,6-Dec-13,59,0
CS5690,19-Jan-15,82,0
CS3410,6-Sep-14,97,0
CS1337,24-Jul-14,103,0
CS4954,2-Nov-12,82,0
CS4400,23-Aug-11,67,0
CS3652,7-Feb-15,64,0
CS5677,28-Feb-13,93,0
CS4992,21-Oct-12,83,0
CS3569,17-Aug-14,61,0
CS2442,30-Apr-14,59,0
CS4160,15-May-12,66,0
CS5996,18-Nov-11,69,0
CS2345,14-Jun-11,60,0
CS2246,10-Aug-11,44,0
CS2928,16-Jul-13,67,0
CS1740,28-Sep-14,102,1
CS2298,12-Sep-11,105,1
CS5283,1-Dec-12,63,0
CS6084,15-Aug-13,64,0
CS3237,22-Jan-13,40,0
CS4913,22-Jul-14,53,0
CS2104,25-Oct-14,81,0
CS4645,2-Dec-13,104,0
CS1128,23-Apr-14,105,0
CS4639,27-Jul-12,39,0
CS4310,13-Sep-11,83,0
CS3182,18-Jan-13,48,0
CS3347,23-Jul-12,38,1
CS4231,23-Feb-15,89,0
CS4171,31-Oct-14,53,0
CS3137,3-Aug-13,92,0
CS1249,23-May-12,55,0
CS3455,3-Oct-11,98,0
CS1235,30-May-12,56,1
CS4454,27-Aug-13,57,0
CS3180,9-Mar-14,65,1
CS2930,16-Jan-14,94,0
CS3838,23-Mar-12,82,0
CS1883,12-Oct-14,57,0
CS5148,19-Nov-12,72,0
CS4952,21-Nov-11,54,1
CS5724,4-Nov-11,85,0
CS1447,19-Mar-12,104,0
CS1693,28-Jan-12,59,0
CS4341,17-Mar-14,87,0
CS3598,8-Aug-12,72,0
CS5659,2-Aug-12,100,0
CS5367,1-Dec-14,41,1
CS1501,27-Feb-13,65,0
CS2134,15-Jul-14,77,0
CS3407,17-Sep-14,62,0
CS3343,3-Apr-14,56,0
CS3506,12-Mar-13,103,0
CS2244,5-May-13,86,1
CS1243,4-Dec-12,70,0
CS3061,2-Dec-13,89,0
CS4884,10-Feb-15,78,0
CS1590,9-Apr-14,39,0
CS3176,28-Jul-14,50,0
CS5638,12-Nov-14,68,0
CS2122,21-Oct-12,83,0
CS2177,30-Jan-15,93,1
CS3074,27-May-11,61,0
CS3433,20-Dec-12,99,0
CS3418,2-Mar-13,87,0
CS5821,23-Jun-12,70,0
CS2231,8-Jan-15,74,0
CS5356,1-Apr-14,91,1
CS5803,28-Nov-14,96,0
CS5611,29-Dec-14,65,0
CS5012,31-Dec-11,85,0
CS4967,7-Apr-13,98,0
CS2522,6-Oct-14,85,0
CS2328,20-Feb-15,43,0
CS3530,13-May-13,88,1
CS5034,1-Jun-14,39,0
CS5784,21-Nov-11,75,0
CS3581,17-Aug-11,93,0
CS3011,14-Dec-14,83,0
CS4152,12-Feb-13,41,0
CS5757,8-Feb-14,56,0
CS5557,23-Jan-12,82,0
CS3988,17-Apr-12,51,0
CS3396,25-Dec-11,87,0
CS4393,10-Feb-15,54,0
CS4629,21-Dec-12,35,0
CS3821,3-Jul-13,73,0
CS3460,19-Sep-11,77,0
CS4948,18-Feb-13,84,0
CS3786,17-Oct-11,71,0
CS5468,8-Jun-12,50,0
CS1545,16-Sep-14,55,0
CS4960,16-Feb-14,77,0
CS3555,5-Aug-13,103,0
CS4587,31-Oct-12,104,0
CS1228,27-Sep-11,57,0
CS5126,22-Dec-12,49,0
CS1453,23-Mar-14,45,0
CS5938,20-Nov-12,61,0
CS3135,31-Jul-12,49,0
CS4444,29-Mar-13,102,0
CS5348,6-Dec-14,64,0
CS1416,27-Nov-12,100,0
CS5400,7-May-14,75,0
CS2313,23-Dec-12,59,0
CS5187,28-Jan-12,42,0
CS3426,2-Apr-13,87,0
CS2309,31-May-11,60,0
CS4564,29-Mar-13,94,0
CS3291,30-Dec-12,93,0
CS2607,19-Feb-13,50,0
CS1882,23-Sep-14,104,0
CS2248,17-Aug-11,100,0
CS4082,15-Feb-15,49,0
CS3181,27-Apr-14,62,0
CS2462,25-Feb-12,88,0
CS2336,22-Sep-13,86,0
CS3235,2-Jul-12,43,0
CS2748,11-Jan-12,55,1
CS3668,25-Aug-12,86,0
CS1296,14-Jan-14,61,0
CS5356,12-Oct-12,57,1
CS4079,21-Aug-12,68,0
CS4864,6-Jan-14,73,0
CS2860,24-May-13,74,0
CS4851,23-Apr-13,94,0
CS5761,28-Jan-15,102,0
CS6082,2-Mar-12,48,0
CS3702,22-May-11,45,1
CS1512,1-Apr-13,54,0
CS4569,3-Jul-14,76,0
CS2419,6-Jul-14,95,0
CS3942,21-May-13,64,1
CS4604,7-Apr-12,38,1
CS6056,21-Feb-13,98,0
CS2592,8-Sep-13,73,0
CS5152,30-Mar-14,53,0
CS4282,13-Jun-11,46,0
CS4509,21-Aug-12,93,0
CS2252,23-Sep-14,95,0
CS3367,27-Aug-13,98,0
CS4980,25-Jan-12,64,0
CS3128,3-Sep-11,91,0
CS3331,30-Jun-13,99,0
CS4166,31-Dec-12,104,0
CS5063,20-Jun-12,56,0
CS5971,15-Jan-14,94,0
CS5060,2-Oct-13,38,0
CS5810,30-Apr-13,48,0
CS2860,1-Aug-11,78,0
CS4490,12-Sep-14,37,0
CS5976,22-Jul-12,47,0
CS4775,30-Jul-12,86,0
CS4174,20-Nov-12,51,0
CS5211,13-Jan-15,85,0
CS3450,26-Oct-12,80,0
CS3945,17-Nov-12,80,0
CS2524,12-Apr-12,55,0
CS3379,7-Oct-14,101,0
CS4349,5-Feb-12,87,0
CS2776,1-Nov-12,70,0
CS1839,13-Nov-13,77,1
CS1322,25-Nov-13,84,0
CS3593,25-May-12,81,0
CS1981,21-May-11,71,0
CS4054,16-Aug-11,99,0
CS4533,21-Jan-15,53,1
CS2896,29-Dec-11,80,0
CS5616,12-Oct-13,37,0
CS3791,3-Jul-14,49,0
CS1951,29-May-11,73,0
CS2473,16-Jun-13,81,0
CS5894,17-Aug-13,68,0
CS1633,19-Dec-12,62,0
CS1977,1-Jul-13,38,0
CS6011,21-Feb-14,55,0
CS6044,17-Oct-13,36,0
CS4951,30-Oct-13,90,0
CS2798,2-Aug-11,69,0
CS2197,21-Sep-12,70,0
CS3011,3-Feb-14,65,0
CS1654,16-Dec-14,85,0
CS2424,5-Dec-13,101,0
CS3530,20-Apr-14,40,1
CS1803,18-Jul-13,80,1
CS4627,22-Jun-14,50,0
CS5154,5-Aug-12,78,0
CS3368,4-Dec-12,38,1
CS2435,19-Dec-13,86,0
CS4353,7-Feb-15,75,0
CS5305,14-Mar-12,86,1
CS3539,1-Jun-13,64,0
CS2087,29-Nov-12,52,0
CS5569,7-Aug-11,56,0
CS5038,15-Nov-14,75,0
CS4895,21-Jan-13,43,0
CS2873,26-Dec-11,87,0
CS5184,9-Feb-13,51,0
CS1930,19-Apr-13,76,0
CS4267,20-May-12,38,1
CS5109,1-Aug-14,91,0
CS5778,25-Nov-12,65,0
CS3400,2-Mar-12,97,0
CS2578,11-Sep-13,47,1
CS3374,25-Oct-11,49,0
CS1492,11-Sep-11,101,0
CS4121,21-Jan-13,50,0
CS5623,1-Mar-15,100,0
CS5118,26-Feb-12,65,0
CS3838,21-Aug-14,42,0
CS3713,1-Oct-13,50,0
CS3104,12-Jun-11,51,0
CS4964,30-Apr-12,86,0
CS5534,20-Jul-14,40,0
CS4723,1-Jan-14,88,0
CS3353,4-Dec-14,94,0
CS3789,13-Feb-14,102,0
CS4141,4-Feb-14,88,0
CS1626,23-Dec-12,38,0
CS2653,7-Apr-12,81,1
CS5227,13-Jan-14,49,0
CS4299,12-Jun-13,36,0
CS4675,2-Nov-11,85,0
CS1474,29-May-12,37,0
CS4892,23-May-12,60,0
CS3864,3-Aug-14,78,0
CS4259,5-Feb-12,55,0
CS4674,19-Dec-14,75,0
CS4904,15-Jun-14,60,0
